bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦6,500,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦160,000/sqm"
4,No,4,5,Lekki,Lagos,No,12,No,Semi Detached Duplex," ₦20,000,000"
4,No,4,5,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦30,000,000/year"
3,No,3,4,Lekki,Lagos,Yes,11,No,Blocks Of Flats," ₦13,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦10,000,000/year"
3,No,3,4,Lekki,Lagos,No,,No,Blocks Of Flats," ₦12,000,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦18,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,No,Detached Duplex," ₦150,000,000/year"
5,Yes,5,6,Ikoyi,Lagos,No,8,Yes,Detached Duplex," ₦250,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦15,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,15,No,Detached Bungalow," ₦12,000,000/year"
1,No,1,2,Ikoyi,Lagos,Yes,,No,mini flat Blocks Of Flats," ₦12,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Massionette," ₦20,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Detached Duplex," ₦10,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦6,500,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦160,000/sqm"
4,No,4,5,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦30,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦15,000,000/year"
4,No,4,5,Lekki,Lagos,No,12,No,Semi Detached Duplex," ₦20,000,000"
5,Yes,5,6,Ikoyi,Lagos,No,8,Yes,Detached Duplex," ₦250,000,000/year"
3,No,3,4,Lekki,Lagos,No,,No,Blocks Of Flats," ₦12,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,No,Detached Duplex," ₦150,000,000/year"
3,No,3,4,Lekki,Lagos,Yes,11,No,Blocks Of Flats," ₦13,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦10,000,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦18,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Detached Bungalow," ₦12,000,000/year"
1,No,1,2,Ikoyi,Lagos,Yes,,No,mini flat Blocks Of Flats," ₦12,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Massionette," ₦20,000,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦15,000,000/year"
5,No,5,6,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦35,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦7,000,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦75,000/sqm"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Massionette," ₦50,000,000"
4,Yes,4,5,Lekki,Lagos,No,8,No,Massionette," ₦30,000,000/year"
5,No,5,6,Lekki,Lagos,No,11,No,Detached Duplex," ₦11,000,000/year"
3,Yes,3,4,Lekki,Lagos,No,8,Yes,Blocks Of Flats," ₦3,500,000/year"
4,No,4,5,Ikoyi,Lagos,Yes,,No,Terraced Duplex," ₦60,000,000/year"
4,No,4,5,Lekki,Lagos,No,12,No,Terraced Duplex," ₦10,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Terraced Duplex," ₦20,000,000"
2,No,2,3,Lekki,Lagos,No,,No,Blocks Of Flats," ₦9,000,000/year"
,Yes,,,Lekki,Lagos,No,8,Yes,," ₦100,000/sqm"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦15,000,000/year"
5,No,5,6,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦35,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦7,000,000/year"
,No,,,Lekki,Lagos,No,,No,," ₦75,000/sqm"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Massionette," ₦50,000,000"
2,No,2,3,Lekki,Lagos,No,,No,Terraced Duplex," ₦12,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,No,Massionette," $50,000/year"
3,No,3,4,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦5,000,000/year"
,No,,,Ikoyi,Lagos,No,8,No,, $715/sqm
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Semi Detached Duplex," ₦20,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Detached Duplex," ₦11,000,000"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Terraced Duplex," ₦8,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Semi Detached Duplex," ₦5,000,000/year"
2,No,2,3,Lekki,Lagos,No,,No,Blocks Of Flats," ₦15,000,000"
4,No,4,5,Lekki,Lagos,No,11,No,Terraced Duplex," ₦9,000,000/year"
5,No,5,6,Lekki,Lagos,No,11,No,Detached Duplex," ₦25,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Semi Detached Duplex," ₦20,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,15,No,Massionette," $50,000/year"
2,No,2,3,Lekki,Lagos,No,,No,Terraced Duplex," ₦12,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,15,No,Detached Duplex," ₦11,000,000"
3,No,3,4,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦5,000,000/year"
,No,,,Ikoyi,Lagos,No,8,No,, $715/sqm
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Terraced Duplex," ₦8,000,000/year"
5,No,5,6,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦25,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,No,Semi Detached Duplex," ₦10,000,000/year"
,No,,,Lekki,Lagos,Yes,,No,," ₦75,000/sqm"
2,No,2,3,Lekki,Lagos,Yes,,No,Blocks Of Flats," ₦6,500,000/year"
5,No,5,6,Lekki,Lagos,No,,No,Detached Duplex," ₦15,000,000"
2,No,2,3,Ikoyi,Lagos,No,,No,Blocks Of Flats," ₦20,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦10,000,000/year"
4,No,4,5,Victoria Island,Lagos,No,,No,Semi Detached Duplex," ₦15,000,000/year"
4,Yes,4,5,Lekki,Lagos,Yes,8,No,Terraced Duplex," ₦7,000,000/year"
3,Yes,3,4,Victoria Island,Lagos,No,15,Yes,Blocks Of Flats," ₦15,000,000"
4,Yes,4,5,Ajah,Lagos,No,8,No,Detached Duplex," ₦25,000,000/year"
5,Yes,5,6,Ikoyi,Lagos,No,8,No,Semi Detached Duplex," ₦50,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Detached Duplex," ₦15,000,000/year"
4,No,4,5,Lekki,Lagos,Yes,15,No,Terraced Duplex," ₦5,000,000"
4,No,4,5,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦20,000,000"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Terraced Duplex," ₦15,000,000/year"
5,No,5,6,Lekki,Lagos,No,11,No,Detached Duplex," ₦15,000,000/year"
4,No,4,5,Lekki,Lagos,No,15,No,Terraced Duplex," ₦30,000,000/year"
4,No,4,5,Lekki,Lagos,No,11,No,Detached Duplex," ₦12,000,000/year"
4,No,4,5,Lekki,Lagos,Yes,,No,Terraced Duplex," ₦6,000,000/year"
2,No,2,3,Lekki,Lagos,Yes,,No,Blocks Of Flats," ₦8,000,000/year"
,No,,,Lekki,Lagos,Yes,,No,," ₦75,000/sqm"
5,No,5,6,Lekki,Lagos,No,11,No,Semi Detached Duplex," ₦25,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,15,No,Semi Detached Duplex," ₦10,000,000/year"
2,No,2,3,Lekki,Lagos,Yes,,No,Blocks Of Flats," ₦6,500,000/year"
5,No,5,6,Lekki,Lagos,No,,No,Detached Duplex," ₦15,000,000"
2,No,2,3,Ikoyi,Lagos,No,,No,Blocks Of Flats," ₦20,000,000/year"
4,No,4,5,Lekki,Lagos,No,,No,Semi Detached Duplex," ₦10,000,000/year"
4,No,4,5,Victoria Island,Lagos,No,,No,Semi Detached Duplex," ₦15,000,000/year"
4,No,4,5,Victoria Island,Lagos,No,,No,Semi Detached Duplex," ₦15,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,6,Yes,Flat Apartment," $65,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦45,000,000/year"
5,No,5,6,Ikoyi,Lagos,No,,No,Detached Duplex," ₦80,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Flat Apartment," ₦42,000,000/year"
6,No,6,7,Ikoyi,Lagos,No,,No,Detached Duplex," $120,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦40,000,000/year"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦30,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Penthouse Flat Apartment," ₦60,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦45,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Flat Apartment," ₦42,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Flat Apartment," $100,000/year"
5,No,5,6,Ikoyi,Lagos,Yes,,No,Detached Duplex," ₦35,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Terraced Duplex," $49,999/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦60,000,000/year"
,No,,,Ikoyi,Lagos,No,,No,," $60,000/year"
4,No,3,4,Victoria Island,Lagos,No,,No,Terraced Duplex," ₦15,000,000/year"
,No,,,Ikoyi,Lagos,No,,No,," $60,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Flat Apartment," ₦35,000,000/year"
4,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," $60,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦40,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Detached Duplex," ₦30,000,000/year"
4,No,4,4,Victoria Island,Lagos,No,,No,Terraced Duplex," ₦20,000,000/year"
,No,,,Ikoyi,Lagos,No,,No,," $30,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Flat Apartment," ₦42,000,000/year"
4,No,3,4,Victoria Island,Lagos,No,,No,Terraced Duplex," ₦20,000,000/year"
5,No,4,5,Ikoyi,Lagos,No,15,Yes,Detached Duplex," ₦50,000,000/year"
,No,,,Ikoyi,Lagos,No,,No,, $600/sqm
4,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," $60,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦45,000,000"
